"filename", "language", "JSON", "Go", "Go Module File", "Makefile", "Markdown", "Go Checksum File", "JavaScript", "HTML", "Vue", "SVG", "JSON with Comments", "comment", "blank", "total"
"/home/karol/Desktop/Smuggr/Software/Net-Work/utils/messages/messages.go", "Go", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 71
"/home/karol/Desktop/Smuggr/Software/Net-Work/utils/models/models.go", "Go", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/home/karol/Desktop/Smuggr/Software/Net-Work/utils/validation/validation.go", "Go", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 129
"/home/karol/Desktop/Smuggr/Software/Net-Work/web/README.md", "Markdown", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 28, 80
"/home/karol/Desktop/Smuggr/Software/Net-Work/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 4, 17
"/home/karol/Desktop/Smuggr/Software/Net-Work/web/jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 1, 21
"/home/karol/Desktop/Smuggr/Software/Net-Work/web/package-lock.json", "JSON", 1852, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1853
"/home/karol/Desktop/Smuggr/Software/Net-Work/web/package.json", "JSON", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
"/home/karol/Desktop/Smuggr/Software/Net-Work/web/src/App.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 14, 88
"/home/karol/Desktop/Smuggr/Software/Net-Work/web/src/apiHandler.js", "JavaScript", 0, 0, 0, 0, 0, 0, 196, 0, 0, 0, 0, 1, 46, 243
"/home/karol/Desktop/Smuggr/Software/Net-Work/web/src/assets/Net-Work.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 284, 0, 1, 2, 287
"/home/karol/Desktop/Smuggr/Software/Net-Work/web/src/assets/logo.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"/home/karol/Desktop/Smuggr/Software/Net-Work/web/src/components/dialogs/LoginDialog.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 21, 133
"/home/karol/Desktop/Smuggr/Software/Net-Work/web/src/components/general/AppBar.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 3, 33
"/home/karol/Desktop/Smuggr/Software/Net-Work/web/src/components/general/DashboardTabButton.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 17
"/home/karol/Desktop/Smuggr/Software/Net-Work/web/src/components/general/Feed.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 2, 20
"/home/karol/Desktop/Smuggr/Software/Net-Work/web/src/components/general/Post.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 7, 44
"/home/karol/Desktop/Smuggr/Software/Net-Work/web/src/components/general/SideBar.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 5, 36
"/home/karol/Desktop/Smuggr/Software/Net-Work/web/src/components/general/SideBarButton.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 37
"/home/karol/Desktop/Smuggr/Software/Net-Work/web/src/components/tabs/AboutTab.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 3, 32
"/home/karol/Desktop/Smuggr/Software/Net-Work/web/src/components/tabs/DashboardTabs.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 2, 55
"/home/karol/Desktop/Smuggr/Software/Net-Work/web/src/components/tabs/DevicesTab.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 21, 148
"/home/karol/Desktop/Smuggr/Software/Net-Work/web/src/components/tabs/HomeTab.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 2, 20
"/home/karol/Desktop/Smuggr/Software/Net-Work/web/src/components/tabs/MyProfileTab.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 8, 64
"/home/karol/Desktop/Smuggr/Software/Net-Work/web/src/components/tabs/PluginsTab.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 4, 19
